term,doc_freq,is_seed
necessarios,10,0
introducao,10,0
integralmente,10,0
fase,10,0
stiffung,10,0
analisar,10,0
imagens,10,0
sedes,10,0
praticaram,10,0
apta,10,0
relacionados,10,0
obrigatoriedade,10,0
traduzida,10,0
distincao,10,0
eduardo,10,0
ameaca,10,0
relativas,10,0
consideravel,10,0
anteriores,10,0
pleiteando,10,0
preenchimento,10,0
edoc,10,0
inseridos,10,0
infracao,10,0
investigam,10,0
ocasiao,10,0
palacio_do_planalto,10,0
kicis,10,0
democraticas,10,0
vandalismo,10,0
clausulas,10,0
ref,10,0
sutil,10,0
primarios,10,0
ilegalidade,10,0
permite,10,0
observar,10,0
aprimorando,10,0
vogal,10,0
posse,10,0
impedir,10,0
detencao,10,0
ro,10,0
tao,10,0
comprovar,10,0
realidade,10,0
oraes,10,0
normas,10,0
objetivos,10,0
instruem,10,0
detalhadamente,10,0
depredacao,10,0
atribuicao,10,0
departamentos,10,0
forcas,10,0
pensamentos,10,0
tinha,10,0
dupla,10,0
compreendido,10,0
resultaram,10,0
pleno,10,0
entretanto,10,0
intersubjetivo,10,0
fica,10,0
detentores,10,0
apresentar,10,0
devida,10,0
representa,10,0
concurso,10,0
imputacoes,10,0
seria,10,0
observe,10,0
otoni,10,0
realizada,10,0
amolda,10,0
limitacao,10,0
sugestao,10,0
afetada,10,0
bia,10,0
ocultar,10,0
republicanas,10,0
identificados,10,0
denunciado,10,0
envolvendo,10,0
gravissima,10,0
antonio,10,0
destruicao,10,0
exigir,10,0
pluralismo,10,0
ela,10,0
motivar,10,0
absolvicao,10,0
amplificado,10,0
fake_news,10,0
ingressaram,10,0
esteira,10,0
oferecida,10,0
afasta,10,0
suspensao,10,0
comprovada,10,0
acusacao,10,0
instauracao,10,0
vida,10,0
cinquenta,10,0
participes,10,0
atua,10,0
diferentemente,10,0
desrespeito,10,0
direcionados,10,0
teve,10,0
entendimento,10,0
instrumentos,10,0
demonstrativa,10,0
elieser,10,0
protegido,10,0
judiciaria,10,0
juntamente,10,0
admitem,10,0
tramitam,10,0
afirmar,10,0
nessas,10,0
dados,10,0
propriedade,10,0
reconhecer,10,0
igualmente,10,0
leonardo,10,0
proibida,10,0
depor,10,0
constituicoes,10,0
chegou,10,0
classificacao,10,0
coerente,10,0
objetiva,10,0
descritos,10,0
denunciadas,10,0
derivadas,10,0
predios,10,0
perpetuidade,10,0
prova,10,0
ocorridos,10,0
cometer,10,0
corresponde,10,0
numero,10,0
determinou,10,0
atuando,10,0
incentivaram,10,0
criticas,10,0
peixoto,10,0
republicanos,10,0
significativa,10,0
perpetrada,10,0
exame,10,0
exauriente,10,0
alemas,10,0
terroristas,10,0
zambelli,10,0
preparatorios,10,0
politica,10,0
atuacao,10,0
impunidade,10,0
tipica,10,0
armadas,10,0
varias,10,0
indicios,10,0
narrado,10,0
indispensaveis,10,0
secao,10,0
pecas,10,0
rhc,10,0
schawabe,10,0
exigidos,10,0
phillipe,10,0
legado,10,0
junio,10,0
liberal,10,0
exposicao,10,0
inconstitucionais,10,0
culminaram,10,0
materiais,10,0
xix,10,0
rompimento,10,0
ve,10,0
auxiliis,10,0
arbitrio,10,0
pets,10,0
imitacao,10,0
narrando,10,0
genericamente,10,0
federais,10,0
estruturantes,10,0
konrad,10,0
uniao,10,0
coletanea,10,0
houverem,10,0
imputou,10,0
possuem,10,0
senados,10,0
responsaveis,10,0
estamos,10,0
prejuizo,10,0
curso,10,0
ellen,10,0
propagacao,10,0
mello,10,0
alegacao,10,0
atentatorios,10,0
ali,10,0
ocorreu,10,0
inumeros,10,0
realizados,10,0
ambos,10,0
deputados,10,0
hoje,10,0
incitacao,10,0
ocorria,10,0
caracterizando,10,0
braganca,10,0
ideias,10,0
camaras,10,0
harmonicos,10,0
aplicacao,10,0
imputados,10,0
permitindo,10,0
mg,10,0
comentado,10,0
cada,10,0
regido,10,0
transitiva,10,0
delibacao,10,0
reunidas,10,0
petreas,10,0
claro,10,0
emprego,10,0
participacao,10,0
amaral,10,0
determinavam,10,0
probatorio,10,0
bastasse,10,0
saraiva,10,0
momentos,10,0
autoritarismo,10,0
crencas,10,0
motivos,10,0
maximo,10,0
critico,10,0
presidencia,10,0
urteil,10,0
novo,10,0
alcance,10,0
merito,10,0
questao,10,0
vicio,10,0
violentos,10,0
aspectos,10,0
prescricoes,10,0
bvr,10,0
exerce,10,0
caracteristica,10,0
relatoria,10,0
casos,10,0
barros,10,0
majorado,10,0
intervencoes,10,0
lamentaveis,10,0
pretendam,10,0
tipicidade,10,0
cidadaos,10,0
adotada,10,0
ba,10,0
movimento,10,0
gracie,10,0
rn,10,0
mestre,10,0
bastos,10,0
convocacao,10,0
interligados,10,0
resultantes,10,0
encerramento,10,0
meios,10,0
viabilidade,10,0
tirania,10,0
norma,10,0
nosso,10,0
violencia,10,0
sejam,10,0
descrever,10,0
conteudo,10,0
adenauer,10,0
merecendo,10,0
incendio,10,0
prazo,10,0
militares,10,0
servidores,10,0
evidenciado,10,0
conhecam,10,0
significativamente,10,0
preceitos,10,0
compreensao,10,0
minimo,10,0
prestaram,10,0
apresentadas,10,0
obra,10,0
intelectuais,10,0
dando,10,0
associarem,10,0
tema,10,0
kabinettsjustiz,10,0
lv,10,0
guiga,10,0
redes_sociais,10,0
devera,10,0
jose,10,0
corpo,10,0
instrumento,10,0
textos,10,0
incorporadas,10,0
qualificado,10,0
estabelecidos,10,0
oportunidade,10,0
protege,10,0
eleito,10,0
indispensavel,10,0
interpretada,10,0
necessaria,10,0
opinioes,10,0
multitudinarios,10,0
paula,10,0
menor,10,0
quomodo,10,0
tramite,10,0
artigos,10,0
possibilitem,10,0
facilitar,10,0
nossa,10,0
judiciarios,10,0
ubi,10,0
materialidade,10,0
indigitados,10,0
reclusao,10,0
ensinamentos,10,0
restringindo,10,0
investigada,10,0
demonstrem,10,0
golpistas,10,0
recebida,10,0
incitadores,10,0
institucionais,10,0
cometidas,10,0
tratando,10,0
carla,10,0
pensamento,10,0
almeida,10,0
tentar,10,0
inexistencia,10,0
codigos,10,0
praticadas,10,0
existira,10,0
elementares,10,0
destrui,10,0
levar,10,0
principal,10,0
estaduais,10,0
programa,10,0
cognicao,10,0
absoluto,10,0
referem,10,0
aqueles,10,0
violentas,10,0
area,10,0
orleans,10,0
definidos,10,0
postulantes,10,0
contribuicao,10,0
congresso_nacional,10,0
cabe,10,0
quibus,10,0
horas,10,0
seculo,10,0
senador,10,0
freitas,10,0
razoaveis,10,0
historicamente,10,0
xliv,10,0
geschaftsordnungen,10,0
descricao,10,0
suporte,10,0
intervencao,10,0
cp,10,0
invasao,10,0
persecucao,9,0
relatados,9,0
ocorrido,9,0
proposta,9,0
multa,9,0
cristiano,9,0
fixada,9,0
condenacao,9,0
seguir,9,0
processos,9,0
filho,9,0
terrorismo,9,0
espacos,9,0
previamente,9,0
penas,9,0
identificado,9,0
plurissubjetivos,9,0
meses,9,0
democracia,9,0
merece,9,0
criminologia,9,0
restando,9,0
totalidade,9,0
fundamento,9,0
inviabilizar,9,0
completamente,9,0
cadeiras,9,0
co,9,0
provocaram,9,0
regra,9,0
saque,9,0
anselmo,9,0
formulou,9,0
congresso,9,0
devidamente,9,0
celular,9,0
influencias,9,0
silvia,9,0
cumplice,9,0
imputa,9,0
uso,9,0
venia,9,0
producao,9,0
organizada,9,0
policiais,9,0
discutidos,9,0
facilidade,9,0
instituto,9,0
tratar,9,0
mauricio,9,0
inflamavel,9,0
oferecimento,9,0
dj,9,0
obriga,9,0
organizarem,9,0
tumulto,9,0
editora,9,0
julio,9,0
ensinado,9,0
cometerem,9,0
denunciada,9,0
inistro,9,0
narrar,9,0
legislacao,9,0
logica,9,0
deputado,9,0
atenuadas,9,0
rev,9,0
mesas,9,0
responderao,9,0
legalidade,9,0
produzidas,9,0
tipificacao,9,0
santiago,9,0
verdade,9,0
exatamente,9,0
problemas,9,0
interessados,9,0
dar,9,0
responsavel,9,0
deposicao,9,0
onibus,9,0
legislativas,9,0
apresentada,9,0
imputando,9,0
comissivas,9,0
possibilidades,9,0
q,9,0
sociais,9,0
individualizacao,9,0
cometido,9,0
requereu,9,0
ativantes,9,0
diversa,9,0
delegacia,9,0
referido,9,0
dirigiram,9,0
nocoes,9,0
volume,9,0
respectivas,9,0
apreendido,9,0
simplesmente,9,0
nela,9,0
permanencia,9,0
insuflar,9,0
substancia,9,0
competente,9,0
apurada,9,0
periodo,9,0
aspecto,9,0
portaria,9,0
batista,9,0
vencido,9,0
promoveram,9,0
converte,9,0
linchamento,9,0
fins,9,0
impropriedade,9,0
etc,9,0
volta,9,0
julgada,9,0
causado,9,0
proporcoes,9,0
escopo,9,0
contribuem,9,0
apresentados,9,0
cometimento,9,0
relevantes,9,0
sede,9,0
nesses,9,0
especial,9,0
mirabete,9,0
relevante,9,0
manifestantes,9,0
acabar,9,0
fernanda,9,0
representacao,9,0
incompetencia,9,0
ativa,9,0
participante,9,0
estiverem,9,0
nilo,9,0
causando,9,0
tomada,9,0
premiada,9,0
estabilidade,9,0
suposta,9,0
segundos,9,0
falta,9,0
ocorrer,9,0
financiamento,9,0
centenas,9,0
reveste,9,0
denunciados,9,0
fazendo,9,0
depois,9,0
intransponiveis,9,0
condenatoria,9,0
arquivo,9,0
terao,9,0
imputado,9,0
psicologicos,9,0
apontou,9,0
senao,9,0
cezar,9,0
estavam,9,0
participar,9,0
tentou,9,0
militar,9,0
figura,9,0
chamado,9,0
direcionada,9,0
sustenta,9,0
alberto,9,0
falar,9,0
reconhecido,9,0
teriam,9,0
abolir,9,0
detalhada,9,0
coronel,9,0
reuters,9,0
referida,9,0
seriam,9,0
mensagens,9,0
impedindo,9,0
presuncao,9,0
votos,9,0
fazia,9,0
deslocamento,9,0
desinibidoras,9,0
depredado,9,0
vistos,9,0
participou,9,0
designios,9,0
fabbrini,9,0
interregno,9,0
capacidade,9,0
construcao,9,0
baseada,9,0
demonstrar,9,0
servicos,9,0
tarde,9,0
resposta,9,0
badaro,9,0
roubo,9,0
verdadeiro,9,0
massas,9,0
cooperacao,9,0
artistico,9,0
delinquente,9,0
gilberto,9,0
consubstanciada,9,0
constitui,9,0
algumas,9,0
apoio,9,0
bitencourt,9,0
eminente,9,0
al,9,0
condicao,9,0
praca,9,0
realizar,9,0
cabendo,9,0
eletronico,9,0
positivista,9,0
disse,9,0
encontravam,9,0
enhor,9,0
assumir,9,0
portas,9,0
participantes,9,0
frequencia,9,0
mendonca,9,0
parcialmente,9,0
adequacao,9,0
multitudinario,9,0
semelhante,9,0
waiapi,9,0
apresentou,9,0
constituido,9,0
correa,9,0
suficiencia,9,0
permita,9,0
veiculos,9,0
fixacao,9,0
haverem,9,0
rj,9,0
fossem,9,0
verificado,9,0
busca,9,0
conjunta,9,0
processuais,9,0
ltda,9,0
exemplos,9,0
dezembro,9,0
informacoes,9,0
quer,9,0
zanin,9,0
peco,9,0
prerrogativas,9,0
dessas,9,0
consoante,9,0
fundamentada,9,0
reduzem,9,0
apresentado,9,0
tratado,9,0
seguida,9,0
tenho,9,0
determinado,9,0
nova,9,0
apesar,9,0
operacao,9,0
possui,9,0
arregimentar,9,0
protesto,9,0
inepta,9,0
invasoes,9,0
correspondente,9,0
positivo,9,0
impropria,9,0
organizaram,9,0
verificou,9,0
praticarem,9,0
indole,9,0
quadrilha,9,0
esfera,9,0
milhares,9,0
metade,9,0
normalmente,9,0
estabelecendo,9,0
unidade,9,0
instalacoes,9,0
conta,9,0
excecoes,9,0
conhecido,9,0
omissivas,9,0
ocorreram,9,0
receber,9,0
bittencourt,8,0
grifei,8,0
explosiva,8,0
afasto,8,0
diferentes,8,0
thomson,8,0
tombado,8,0
seguindo,8,0
similar,8,0
aberta,8,0
piloto,8,0
garantira,8,0
consciente,8,0
circunstancia,8,0
subjetivamente,8,0
urbanisticas,8,0
recebo,8,0
felipe,8,0
economia,8,0
conjunto,8,0
ausentes,8,0
chefe,8,0
pinacoteca,8,0
moral,8,0
citados,8,0
participado,8,0
populacao,8,0
alheia,8,0
depredando,8,0
historicos,8,0
havia,8,0
culposo,8,0
gomes,8,0
novas,8,0
surgimento,8,0
concreto,8,0
efetivamente,8,0
aderiu,8,0
ver,8,0
reais,8,0
doze,8,0
unica,8,0
citada,8,0
expondo,8,0
escala,8,0
permaneceu,8,0
relacionadas,8,0
novamente,8,0
reconheceu,8,0
grifos,8,0
deveria,8,0
sui,8,0
civil,8,0
ementado,8,0
fisicas,8,0
dizer,8,0
distinto,8,0
independentemente,8,0
diz,8,0
penso,8,0
adesao,8,0
proferidas,8,0
reconhecimento,8,0
estruturas,8,0
acordam,8,0
persecutor,8,0
antidemocratica,8,0
mitigada,8,0
autorizacao,8,0
exercito,8,0
dividiram,8,0
financiar,8,0
adolescente,8,0
amoldariam,8,0
divergir,8,0
propositura,8,0
inutilizacao,8,0
requerimento,8,0
impor,8,0
destruir,8,0
cientifica,8,0
direcionaram,8,0
originario,8,0
biblioteca,8,0
prisao,8,0
extrai,8,0
demonstradas,8,0
oferecer,8,0
juridica,8,0
colhidos,8,0
invadiu,8,0
demonstracao,8,0
configurar,8,0
aumenta,8,0
precisara,8,0
pedidos,8,0
arquitetonicas,8,0
anpp,8,0
padroes,8,0
assentou,8,0
evidencie,8,0
interpretacao,8,0
haver,8,0
durante,8,0
subjetiva,8,0
iphan,8,0
mil,8,0
direta,8,0
obrigatoriamente,8,0
vislumbro,8,0
trouxe,8,0
museu,8,0
nome,8,0
pretende,8,0
previa,8,0
estadios,8,0
havera,8,0
deteriorar,8,0
sim,8,0
deixa,8,0
eticos,8,0
estados,8,0
realiza,8,0
analisa,8,0
investida,8,0
iniciativa,8,0
tercio,8,0
probatorios,8,0
monumental,8,0
manifesta,8,0
alguem,8,0
paineis,8,0
impedidos,8,0
linha,8,0
assessora,8,0
modo,8,0
tomar,8,0
tombados,8,0
reuniao,8,0
argumento,8,0
antiga,8,0
provas,8,0
daquele,8,0
alinea,8,0
acampamentos,8,0
admissibilidade,8,0
milhoes,8,0
voluntariedade,8,0
defesas,8,0
terem,8,0
estrita,8,0
fundamental,8,0
parquet,8,0
clarissa,8,0
posicao,8,0
atentados,8,0
sigilo,8,0
referencia,8,0
conformidade,8,0
confronto,8,0
moveis,8,0
estariam,8,0
fenomeno,8,0
preso,8,0
insuficientes,8,0
chegaram,8,0
jurisdicao,8,0
sergio,8,0
pretender,8,0
constatada,8,0
denunciar,8,0
constituindo,8,0
sujeito,8,0
impede,8,0
protegidos,8,0
comissao,8,0
grau,8,0
pudesse,8,0
enquanto,8,0
emissao,8,0
praticando,8,0
consolidar,8,0
negativa,8,0
separadamente,8,0
generis,8,0
passou,8,0
poderao,8,0
redigidos,8,0
antecedentes,8,0
subjetivas,8,0
fundacao,8,0
apontados,8,0
manha,8,0
la,8,0
consideravelmente,8,0
superada,8,0
potencial,8,0
acusador,8,0
expressivo,8,0
mantendo,8,0
citado,8,0
exercer,8,0
jurisdicional,8,0
varios,8,0
alterado,8,0
tipicas,8,0
caracterizar,8,0
proporcionalidade,8,0
orienta,8,0
pessoal,8,0
capazes,8,0
detidos,8,0
contrario,8,0
decorrencia,8,0
ademais,8,0
envolvidos,8,0
registro,8,0
preciso,8,0
especie,8,0
colegiado,8,0
fez,8,0
articulacao,8,0
ante,8,0
requer,8,0
necessidade,8,0
realizado,8,0
pacote,8,0
obrigado,8,0
amplamente,8,0
anteriormente,8,0
rcl,8,0
nulidade,8,0
cumprimento,8,0
futebol,8,0
reiterada,8,0
originariamente,8,0
rt,8,0
daqueles,8,0
permanente,8,0
participaram,8,0
sempre,8,0
crianca,8,0
constituem,8,0
historico,8,0
liderarem,8,0
mista,8,0
reiterar,8,0
mera,8,0
egoistico,8,0
evitar,8,0
