,codigo,nao,sob,br,teor,portal,ww,jus,http,autenticacao,autenticardocumento,asp,senha,pagina,inteiro,penal,pela,i,direito,estado,min,contra,pelo,ap,moraes,alexandre,crimes,pessoas,dia,democratico,denuncia,vogal,ii,crime,violencia,p,n,criminosa,atos,palacio_do_planalto,todos,associacao,ja,lei,foram,publico,republica,mesmo,acao,rd,poderes,grupo,pratica,patrimonio,forma,m,unico,denunciado,ameaca,bem,paragrafo,ainda,caso,assim,geral,grave,manifestantes,l,congresso_nacional,corte,relacao,nq,iv,exercicio,condutas,reu,abolicao,pena,policia,golpe,competencia,foro,ministerio,inq,outros,sentido,meio,prerrogativa,alem,violenta,presente,conforme,fatos,poder,tem,qualquer,r,governo,dano,quanto,parte,emprego,prejuizo,uniao,fim,momento,eett,denunciados,fato,juizo,esta,conduta,defesa,existencia,pelos,silva,militar,circunstancias,rel,sendo,sido,invasao,paulo,praca_dos_tres_poderes,autoria,razao,termos,nesse,portanto,causa,delito,sem,objetivo,seguranca,inclusive,concurso,julgamento,constitucionais,lucia,acusado,c,delitos,demais,seja,participacao,dias,investigados,deve,acoes,anos
autenticardocumento,63821.0,19192.0,64464.0,63109.0,55735.0,64388.0,60499.0,61787.0,59194.0,65683.0,66984.0,65683.0,61605.0,54359.0,56907.0,15795.0,9423.0,18251.0,8568.0,9528.0,27873.0,8024.0,8726.0,26547.0,25697.0,26129.0,8195.0,6741.0,7997.0,6007.0,6826.0,24242.0,6364.0,5957.0,5566.0,13471.0,6358.0,5309.0,5921.0,5317.0,5553.0,5059.0,5435.0,5675.0,5754.0,5518.0,5299.0,4582.0,4735.0,16542.0,4807.0,4153.0,4336.0,4459.0,4847.0,4169.0,4540.0,4072.0,3883.0,4033.0,4234.0,4437.0,4073.0,4527.0,4098.0,3696.0,4603.0,3255.0,3406.0,4167.0,4019.0,12265.0,3457.0,3368.0,3232.0,4263.0,2667.0,4159.0,3451.0,2645.0,4045.0,3784.0,3738.0,3383.0,3388.0,3097.0,3367.0,3678.0,2950.0,2391.0,2920.0,3186.0,3134.0,2983.0,2388.0,2981.0,5386.0,2783.0,2736.0,2885.0,3215.0,2754.0,2271.0,2342.0,2848.0,2747.0,9150.0,2990.0,2883.0,2655.0,2640.0,2286.0,2641.0,2370.0,2687.0,2393.0,2278.0,2694.0,2634.0,2323.0,2519.0,2471.0,2865.0,2345.0,2387.0,2027.0,3145.0,2134.0,2464.0,2547.0,2232.0,2232.0,2171.0,2459.0,1974.0,1979.0,2810.0,2143.0,2485.0,2162.0,2328.0,2161.0,2215.0,1786.0,2205.0,2633.0,2327.0,2176.0,2438.0,2428.0
asp,64870.0,19148.0,65723.0,61820.0,57002.0,63091.0,59206.0,60489.0,57900.0,64384.0,65683.0,66984.0,62903.0,55637.0,58188.0,15697.0,9415.0,18538.0,8502.0,9473.0,28376.0,7976.0,8677.0,27120.0,26192.0,26624.0,8167.0,6709.0,7959.0,5964.0,6796.0,24787.0,6318.0,5947.0,5536.0,13737.0,6358.0,5301.0,5922.0,5313.0,5519.0,5063.0,5411.0,5631.0,5734.0,5510.0,5288.0,4576.0,4732.0,16966.0,4770.0,4150.0,4338.0,4419.0,4809.0,4188.0,4520.0,4076.0,3856.0,4029.0,4222.0,4414.0,4057.0,4513.0,4110.0,3666.0,4607.0,3247.0,3393.0,4156.0,4000.0,12591.0,3408.0,3346.0,3226.0,4249.0,2659.0,4150.0,3452.0,2618.0,4028.0,3783.0,3738.0,3358.0,3388.0,3090.0,3339.0,3683.0,2931.0,2384.0,2898.0,3188.0,3122.0,2973.0,2394.0,2971.0,5454.0,2742.0,2719.0,2857.0,3205.0,2744.0,2241.0,2310.0,2845.0,2752.0,9388.0,2977.0,2881.0,2633.0,2632.0,2277.0,2627.0,2370.0,2648.0,2376.0,2269.0,2704.0,2615.0,2320.0,2516.0,2458.0,2870.0,2353.0,2377.0,2016.0,3127.0,2138.0,2462.0,2527.0,2229.0,2231.0,2162.0,2457.0,1972.0,1961.0,2783.0,2135.0,2482.0,2164.0,2329.0,2155.0,2186.0,1781.0,2204.0,2608.0,2328.0,2182.0,2429.0,2432.0
senha,65725.0,19112.0,64266.0,57779.0,60990.0,59028.0,55152.0,56425.0,53842.0,60308.0,61605.0,62903.0,66984.0,59657.0,62220.0,15461.0,9453.0,19503.0,8348.0,9347.0,29928.0,7880.0,8574.0,28927.0,27713.0,28148.0,8139.0,6655.0,7871.0,5865.0,6747.0,26555.0,6200.0,5961.0,5479.0,14554.0,6386.0,5317.0,5958.0,5333.0,5455.0,5117.0,5353.0,5537.0,5686.0,5534.0,5284.0,4579.0,4754.0,18316.0,4670.0,4183.0,4371.0,4309.0,4717.0,4266.0,4494.0,4122.0,3799.0,4049.0,4217.0,4368.0,4052.0,4498.0,4176.0,3608.0,4640.0,3265.0,3375.0,4156.0,3971.0,13647.0,3289.0,3304.0,3225.0,4220.0,2669.0,4129.0,3468.0,2565.0,4000.0,3808.0,3766.0,3317.0,3415.0,3101.0,3271.0,3725.0,2889.0,2400.0,2872.0,3222.0,3112.0,2961.0,2439.0,2962.0,5672.0,2618.0,2681.0,2802.0,3189.0,2730.0,2160.0,2226.0,2857.0,2790.0,10102.0,2943.0,2910.0,2581.0,2631.0,2261.0,2606.0,2389.0,2550.0,2338.0,2262.0,2747.0,2560.0,2327.0,2526.0,2428.0,2890.0,2395.0,2359.0,2003.0,3076.0,2162.0,2479.0,2489.0,2222.0,2248.0,2153.0,2459.0,1975.0,1919.0,2720.0,2116.0,2490.0,2187.0,2353.0,2140.0,2124.0,1773.0,2216.0,2551.0,2351.0,2217.0,2413.0,2451.0
pagina,59479.0,19462.0,57234.0,50639.0,65175.0,51837.0,48010.0,49253.0,46716.0,53081.0,54359.0,55637.0,59657.0,66854.0,63869.0,15490.0,9815.0,21505.0,8522.0,9382.0,28028.0,7949.0,8657.0,31784.0,27536.0,26971.0,8390.0,6813.0,7990.0,5903.0,6845.0,25974.0,6223.0,6246.0,5561.0,16195.0,6832.0,5639.0,6145.0,5439.0,5544.0,5314.0,5389.0,5492.0,5819.0,5695.0,5391.0,4739.0,4899.0,20656.0,4681.0,4351.0,4526.0,4232.0,4725.0,4519.0,4541.0,4373.0,3859.0,4185.0,4290.0,4414.0,4152.0,4548.0,4581.0,3638.0,4723.0,3433.0,3440.0,4181.0,4077.0,15525.0,3226.0,3342.0,3327.0,4268.0,2807.0,4245.0,3627.0,2579.0,4026.0,3910.0,3884.0,3306.0,3465.0,3216.0,3215.0,3848.0,2934.0,2539.0,2933.0,3317.0,3204.0,2987.0,2758.0,2976.0,6000.0,2523.0,2699.0,2783.0,3373.0,2810.0,2101.0,2179.0,2947.0,2908.0,11535.0,2987.0,3053.0,2541.0,2693.0,2319.0,2624.0,2455.0,2452.0,2248.0,2313.0,2896.0,2511.0,2406.0,2583.0,2432.0,3290.0,2525.0,2419.0,2006.0,3015.0,2237.0,2552.0,2479.0,2250.0,2321.0,2180.0,2506.0,2080.0,1945.0,2632.0,2201.0,2384.0,2270.0,2446.0,2156.0,2244.0,1805.0,2313.0,2334.0,2416.0,2304.0,2435.0,2535.0
inteiro,61621.0,19225.0,59641.0,53161.0,65164.0,54376.0,50540.0,51793.0,49242.0,55628.0,56907.0,58188.0,62220.0,63869.0,66548.0,15334.0,9655.0,20705.0,8317.0,9321.0,29027.0,7900.0,8532.0,30612.0,28531.0,27962.0,8250.0,6730.0,7969.0,5870.0,6777.0,27068.0,6137.0,6014.0,5525.0,15621.0,6471.0,5391.0,6074.0,5381.0,5468.0,5259.0,5359.0,5500.0,5732.0,5618.0,5325.0,4716.0,4801.0,19808.0,4644.0,4273.0,4447.0,4246.0,4657.0,4393.0,4516.0,4303.0,3825.0,4125.0,4252.0,4391.0,4111.0,4509.0,4263.0,3623.0,4680.0,3353.0,3400.0,4159.0,4001.0,14875.0,3256.0,3325.0,3273.0,4241.0,2741.0,4114.0,3539.0,2559.0,4002.0,3866.0,3835.0,3302.0,3437.0,3121.0,3227.0,3805.0,2895.0,2472.0,2910.0,3297.0,3174.0,2963.0,2581.0,2960.0,5823.0,2546.0,2646.0,2764.0,3151.0,2772.0,2112.0,2185.0,2906.0,2855.0,11055.0,2974.0,2973.0,2541.0,2659.0,2271.0,2612.0,2411.0,2493.0,2227.0,2280.0,2832.0,2519.0,2372.0,2550.0,2421.0,2952.0,2462.0,2352.0,1999.0,3015.0,2198.0,2532.0,2475.0,2224.0,2284.0,2154.0,2488.0,2029.0,1911.0,2659.0,2162.0,2335.0,2227.0,2392.0,2192.0,2079.0,1772.0,2256.0,2339.0,2381.0,2258.0,2420.0,2494.0
penal,43263.0,24128.0,17328.0,16307.0,15741.0,16040.0,16557.0,16354.0,16628.0,15905.0,15795.0,15697.0,15461.0,15490.0,15334.0,62933.0,16869.0,18274.0,16766.0,13656.0,10172.0,10967.0,11374.0,8406.0,8008.0,8087.0,13430.0,7212.0,6534.0,10138.0,14238.0,6681.0,14743.0,12797.0,8863.0,7808.0,6349.0,9469.0,4350.0,2035.0,10122.0,7928.0,3985.0,14303.0,3052.0,8952.0,4859.0,5211.0,14035.0,4895.0,4312.0,1267.0,6270.0,7864.0,7176.0,10782.0,12809.0,3160.0,8921.0,5144.0,12476.0,3681.0,7161.0,5336.0,5586.0,8432.0,716.0,10469.0,1955.0,5894.0,6973.0,3829.0,9845.0,4783.0,6226.0,7404.0,6255.0,9234.0,741.0,6381.0,5286.0,4543.0,7712.0,4291.0,1518.0,4378.0,4294.0,4146.0,2846.0,5581.0,6233.0,4130.0,4116.0,2263.0,2811.0,4187.0,3008.0,2970.0,6540.0,3886.0,4691.0,4907.0,5044.0,5123.0,3732.0,2495.0,2281.0,2518.0,4584.0,4839.0,2399.0,4754.0,3878.0,4179.0,3001.0,2847.0,585.0,3971.0,4428.0,2278.0,2873.0,858.0,4053.0,2331.0,5020.0,4590.0,6079.0,3208.0,2451.0,7788.0,5562.0,2634.0,2199.0,1047.0,2086.0,4925.0,3603.0,2222.0,915.0,4288.0,5140.0,3103.0,3371.0,3317.0,2272.0,3752.0,2743.0,4282.0,1879.0,4897.0
pela,19264.0,16581.0,10928.0,9780.0,9875.0,9566.0,9662.0,9571.0,9712.0,9438.0,9423.0,9415.0,9453.0,9815.0,9655.0,16869.0,45455.0,10699.0,10591.0,10150.0,6089.0,10543.0,8394.0,5989.0,5958.0,5989.0,7802.0,6079.0,5182.0,8331.0,7528.0,3850.0,8701.0,6208.0,7938.0,2817.0,5903.0,7872.0,4360.0,4887.0,5683.0,7622.0,4085.0,7360.0,4637.0,4321.0,6716.0,4138.0,5200.0,3348.0,5234.0,2896.0,7891.0,7383.0,3468.0,6380.0,7487.0,4235.0,6706.0,4480.0,7374.0,2444.0,3284.0,2533.0,6215.0,6335.0,3160.0,5766.0,4536.0,3254.0,3359.0,2541.0,6817.0,3996.0,5047.0,4945.0,5548.0,2894.0,6501.0,5459.0,2057.0,1807.0,3025.0,2255.0,1709.0,2540.0,2183.0,1836.0,2561.0,5148.0,3275.0,3486.0,3226.0,2868.0,2527.0,2711.0,1892.0,2683.0,6541.0,2028.0,2686.0,4376.0,5134.0,5280.0,2550.0,2529.0,1517.0,1438.0,2008.0,2693.0,1922.0,2396.0,3753.0,1187.0,2520.0,2946.0,2387.0,1763.0,1787.0,1331.0,2914.0,2905.0,1103.0,2001.0,2546.0,4442.0,2468.0,2054.0,2154.0,2628.0,2361.0,1560.0,1426.0,1712.0,2301.0,3805.0,1470.0,2192.0,713.0,3152.0,2104.0,3111.0,2101.0,2137.0,2110.0,1149.0,1410.0,2194.0,1710.0,1310.0
i,29108.0,10745.0,19451.0,17454.0,21265.0,17732.0,16887.0,17148.0,16632.0,17968.0,18251.0,18538.0,19503.0,21505.0,20705.0,18274.0,10699.0,42960.0,8855.0,9591.0,7460.0,10623.0,5059.0,3035.0,7774.0,7690.0,8404.0,5888.0,3318.0,6460.0,6694.0,12766.0,17185.0,6094.0,6609.0,4625.0,6831.0,6356.0,2809.0,2381.0,7544.0,5252.0,2134.0,12959.0,2790.0,3940.0,3860.0,3377.0,3602.0,16653.0,2311.0,1636.0,4533.0,8532.0,3922.0,9521.0,11974.0,2342.0,6246.0,3177.0,11713.0,2252.0,3638.0,3340.0,4196.0,5748.0,935.0,8225.0,3026.0,4655.0,4444.0,15923.0,11577.0,2521.0,3106.0,2288.0,4753.0,4838.0,1495.0,5112.0,5024.0,3778.0,2489.0,3253.0,1799.0,1822.0,1628.0,3670.0,1759.0,4791.0,2775.0,1953.0,2298.0,1401.0,1843.0,2132.0,3662.0,1206.0,7502.0,2272.0,1763.0,3868.0,5811.0,6235.0,1767.0,1830.0,1060.0,2550.0,2442.0,2409.0,1265.0,1338.0,1276.0,1373.0,1648.0,1863.0,542.0,1468.0,1976.0,1617.0,1898.0,855.0,1111.0,1634.0,1700.0,1929.0,3585.0,885.0,1435.0,2145.0,1683.0,1478.0,1359.0,895.0,1677.0,3808.0,2134.0,1371.0,447.0,1459.0,4484.0,2029.0,1564.0,976.0,1129.0,2059.0,1789.0,2008.0,870.0,2733.0
direito,17128.0,12862.0,9080.0,8994.0,8452.0,8749.0,9105.0,8919.0,9145.0,8645.0,8568.0,8502.0,8348.0,8522.0,8317.0,16766.0,10591.0,8855.0,42818.0,30805.0,6036.0,11084.0,4934.0,4867.0,5051.0,4989.0,10649.0,4900.0,4775.0,27261.0,5741.0,3092.0,9017.0,8010.0,11045.0,4784.0,3582.0,9205.0,3976.0,3318.0,6582.0,8205.0,2486.0,6689.0,2261.0,4425.0,4811.0,3633.0,3483.0,2867.0,10234.0,2631.0,7573.0,5581.0,4867.0,7942.0,6557.0,3569.0,10466.0,4400.0,6493.0,1839.0,2335.0,3129.0,4141.0,9340.0,791.0,9924.0,3510.0,3789.0,2020.0,2302.0,5954.0,9528.0,4910.0,2840.0,14560.0,3258.0,1245.0,9876.0,1539.0,1746.0,2772.0,2561.0,2277.0,2793.0,4520.0,1727.0,2219.0,11967.0,1727.0,3024.0,2589.0,3318.0,2673.0,3524.0,1041.0,5903.0,5815.0,2242.0,3942.0,6573.0,2742.0,3754.0,1566.0,665.0,1385.0,1600.0,2848.0,1356.0,2837.0,2896.0,4262.0,1548.0,2056.0,2120.0,1784.0,1946.0,2221.0,1176.0,729.0,1301.0,3116.0,3001.0,2890.0,2293.0,1133.0,1693.0,2167.0,1470.0,2317.0,2340.0,3748.0,1385.0,1769.0,2051.0,1465.0,5966.0,564.0,3775.0,1088.0,2842.0,1829.0,1331.0,1926.0,1482.0,1488.0,1871.0,1361.0,2424.0
estado,18677.0,11496.0,9919.0,9906.0,9511.0,9654.0,9913.0,9818.0,10017.0,9587.0,9528.0,9473.0,9347.0,9382.0,9321.0,13656.0,10150.0,9591.0,30805.0,42546.0,5846.0,12814.0,5470.0,5523.0,5720.0,5675.0,10495.0,5877.0,5690.0,27988.0,4720.0,3587.0,9741.0,7916.0,13602.0,4597.0,3440.0,9291.0,5418.0,4096.0,5785.0,7953.0,2570.0,7054.0,2314.0,4372.0,5756.0,2732.0,3033.0,3240.0,10716.0,2799.0,8001.0,7569.0,4578.0,9777.0,7496.0,3918.0,12916.0,5124.0,7464.0,1622.0,3238.0,3214.0,3206.0,11791.0,1251.0,10318.0,4621.0,3063.0,1900.0,2488.0,6787.0,6702.0,4532.0,2821.0,15171.0,3836.0,1290.0,14383.0,1564.0,1587.0,2096.0,3032.0,2464.0,1759.0,5553.0,1605.0,2276.0,12485.0,1807.0,2593.0,1710.0,4193.0,2634.0,2733.0,714.0,7857.0,6064.0,2626.0,2097.0,7616.0,3732.0,5593.0,2075.0,799.0,1355.0,1397.0,1646.0,1204.0,1840.0,2536.0,1799.0,1648.0,2003.0,1953.0,2371.0,983.0,1570.0,1521.0,506.0,1820.0,1844.0,3541.0,1338.0,1837.0,745.0,1377.0,2181.0,1384.0,2585.0,1857.0,4090.0,1674.0,2054.0,1915.0,638.0,5847.0,410.0,1471.0,1367.0,3024.0,1268.0,1581.0,1189.0,1217.0,1342.0,1426.0,1172.0,3331.0
min,31431.0,12746.0,29276.0,26427.0,28766.0,26878.0,25401.0,25903.0,24910.0,27373.0,27873.0,28376.0,29928.0,28028.0,29027.0,10172.0,6089.0,7460.0,6036.0,5846.0,40314.0,4755.0,5715.0,14203.0,29111.0,29636.0,4450.0,3423.0,5107.0,4027.0,5541.0,1292.0,3318.0,5269.0,3137.0,11657.0,3846.0,3264.0,3821.0,2550.0,3580.0,3768.0,3506.0,2512.0,2937.0,4164.0,2880.0,3355.0,3475.0,5938.0,2901.0,2976.0,2595.0,2317.0,2548.0,1878.0,2513.0,2730.0,2056.0,2099.0,2417.0,2170.0,3036.0,2473.0,2582.0,1838.0,1602.0,1604.0,1771.0,3956.0,1331.0,4152.0,1444.0,2691.0,2299.0,2396.0,2012.0,2796.0,1399.0,1968.0,2150.0,2422.0,3310.0,4789.0,1470.0,2825.0,1870.0,2301.0,1775.0,2125.0,2817.0,2596.0,1771.0,2391.0,1326.0,1914.0,1680.0,1312.0,1921.0,1441.0,1377.0,1549.0,1488.0,1091.0,1396.0,1548.0,8815.0,1460.0,2155.0,1556.0,3028.0,2181.0,2948.0,1680.0,1448.0,1079.0,1067.0,2646.0,10686.0,1609.0,1581.0,1409.0,1527.0,1194.0,2145.0,1491.0,1304.0,2366.0,2019.0,2037.0,916.0,1468.0,834.0,1322.0,1018.0,802.0,1501.0,1462.0,2787.0,1548.0,879.0,808.0,1719.0,1109.0,1730.0,3431.0,1406.0,2117.0,1865.0,1520.0
contra,15500.0,9820.0,8577.0,8369.0,8013.0,8291.0,8361.0,8276.0,8455.0,8079.0,8024.0,7976.0,7880.0,7949.0,7900.0,10967.0,10543.0,10623.0,11084.0,12814.0,4755.0,36671.0,5747.0,4188.0,3986.0,4077.0,10616.0,7858.0,5525.0,9124.0,5628.0,3326.0,8357.0,4705.0,10422.0,3028.0,4049.0,5123.0,4623.0,4694.0,5397.0,4514.0,2735.0,6534.0,3815.0,3846.0,4065.0,4058.0,2990.0,3292.0,6713.0,4467.0,3694.0,9892.0,3541.0,4732.0,7171.0,3549.0,8697.0,3296.0,7116.0,2002.0,3474.0,2819.0,2016.0,8455.0,2529.0,4360.0,4976.0,2065.0,3769.0,2401.0,5995.0,3178.0,2483.0,1023.0,4428.0,1374.0,1577.0,4094.0,1665.0,2305.0,1830.0,2124.0,2351.0,1825.0,3728.0,2173.0,2048.0,4614.0,2498.0,1567.0,2001.0,2638.0,1832.0,2190.0,1232.0,3344.0,6795.0,1546.0,1238.0,6095.0,6646.0,9084.0,1797.0,1894.0,1513.0,2336.0,1996.0,1795.0,513.0,1739.0,2116.0,736.0,1430.0,2412.0,1929.0,1399.0,1133.0,1077.0,1568.0,2119.0,911.0,2601.0,1676.0,1731.0,1238.0,1039.0,1829.0,1308.0,1297.0,1285.0,2404.0,2217.0,979.0,3164.0,1642.0,2905.0,493.0,1244.0,2112.0,1465.0,1782.0,925.0,894.0,807.0,1197.0,1740.0,1877.0,850.0
pelo,13512.0,13552.0,9488.0,9180.0,8750.0,8931.0,9205.0,9041.0,9197.0,8786.0,8726.0,8677.0,8574.0,8657.0,8532.0,11374.0,8394.0,5059.0,4934.0,5470.0,5715.0,5747.0,36302.0,5143.0,5777.0,5726.0,4914.0,5994.0,6089.0,3386.0,6954.0,3048.0,3839.0,4015.0,2935.0,3186.0,4382.0,4978.0,5400.0,4009.0,4844.0,3766.0,3600.0,3045.0,3027.0,6939.0,3392.0,3599.0,4527.0,1994.0,2727.0,5442.0,3389.0,3148.0,3704.0,2235.0,2416.0,5194.0,1924.0,3091.0,2237.0,4057.0,3523.0,2272.0,2831.0,1787.0,2499.0,2175.0,3154.0,2446.0,2807.0,1632.0,2608.0,2472.0,2908.0,3276.0,1240.0,1960.0,2367.0,1634.0,1554.0,1189.0,5967.0,2342.0,2747.0,2164.0,2535.0,1100.0,2621.0,1625.0,2486.0,2489.0,1723.0,2841.0,1245.0,1261.0,1531.0,2291.0,2049.0,2242.0,1489.0,1144.0,1722.0,889.0,1608.0,2013.0,1643.0,1931.0,2698.0,2085.0,2099.0,2242.0,1833.0,1485.0,2044.0,1339.0,2121.0,2187.0,1904.0,1373.0,2003.0,1096.0,1280.0,1746.0,1577.0,1774.0,2028.0,1802.0,2257.0,1892.0,2254.0,2149.0,2022.0,1329.0,985.0,1749.0,1620.0,1005.0,1292.0,2292.0,1462.0,2107.0,1907.0,2257.0,1176.0,1069.0,963.0,1593.0,2792.0,1132.0
ap,29768.0,11333.0,27929.0,24853.0,31208.0,25420.0,23716.0,24266.0,23137.0,25975.0,26547.0,27120.0,28927.0,31784.0,30612.0,8406.0,5989.0,3035.0,4867.0,5523.0,14203.0,4188.0,5143.0,35698.0,12116.0,11911.0,5085.0,3786.0,4446.0,3585.0,3243.0,12732.0,2721.0,3926.0,3941.0,1499.0,2128.0,3293.0,3160.0,4291.0,2650.0,2471.0,4486.0,2729.0,3443.0,2852.0,3112.0,2460.0,3193.0,5145.0,2666.0,1687.0,2636.0,2593.0,3031.0,1558.0,2870.0,1629.0,2492.0,2610.0,2618.0,2528.0,2349.0,2305.0,2072.0,2431.0,4029.0,1965.0,1730.0,3011.0,1957.0,243.0,1554.0,2286.0,1912.0,4257.0,1597.0,3414.0,2129.0,1536.0,2362.0,2097.0,1469.0,2341.0,2334.0,2018.0,1863.0,2087.0,1695.0,1507.0,1347.0,1721.0,2073.0,1824.0,1393.0,1435.0,981.0,1781.0,1838.0,2339.0,2033.0,1988.0,1276.0,1207.0,1990.0,1829.0,16.0,380.0,1885.0,1516.0,1868.0,1410.0,2119.0,1298.0,1875.0,1032.0,1869.0,2199.0,2584.0,1300.0,2074.0,1850.0,868.0,1292.0,1575.0,1147.0,1472.0,1396.0,1647.0,1570.0,1572.0,1221.0,1043.0,2059.0,1253.0,1072.0,1920.0,1087.0,56.0,1779.0,828.0,1273.0,1172.0,1114.0,1192.0,1815.0,1022.0,950.0,1638.0,1657.0
moraes,28975.0,8558.0,26947.0,24280.0,28056.0,24759.0,23254.0,23739.0,22771.0,25205.0,25697.0,26192.0,27713.0,27536.0,28531.0,8008.0,5958.0,7774.0,5051.0,5720.0,29111.0,3986.0,5777.0,12116.0,35130.0,34188.0,4338.0,3141.0,5362.0,3934.0,4572.0,959.0,3113.0,3439.0,3087.0,11077.0,4099.0,3097.0,4182.0,2485.0,3460.0,3722.0,2863.0,2864.0,3011.0,3449.0,2629.0,2475.0,2706.0,5960.0,2590.0,3376.0,2764.0,2194.0,1890.0,2318.0,2733.0,2618.0,2066.0,2247.0,2589.0,2241.0,1952.0,2004.0,2407.0,1796.0,1621.0,2170.0,1756.0,2442.0,1088.0,4199.0,1722.0,1503.0,2003.0,2022.0,2233.0,2183.0,1837.0,2377.0,1304.0,874.0,2631.0,2384.0,1249.0,1469.0,1781.0,822.0,1719.0,2314.0,1729.0,2692.0,1300.0,1777.0,1109.0,1215.0,2417.0,1285.0,1760.0,1068.0,1154.0,1611.0,1090.0,1035.0,1389.0,963.0,9255.0,1159.0,1192.0,704.0,2180.0,1004.0,1769.0,1425.0,1413.0,1518.0,1009.0,1487.0,3276.0,2035.0,1245.0,1378.0,1608.0,1174.0,1648.0,1046.0,1630.0,1308.0,1559.0,1219.0,588.0,998.0,948.0,1187.0,1172.0,726.0,855.0,1112.0,2827.0,956.0,1690.0,1045.0,1102.0,971.0,1275.0,1800.0,1011.0,1463.0,1170.0,1513.0
alexandre,29374.0,8596.0,27373.0,24703.0,27480.0,25189.0,23678.0,24166.0,23192.0,25635.0,26129.0,26624.0,28148.0,26971.0,27962.0,8087.0,5989.0,7690.0,4989.0,5675.0,29636.0,4077.0,5726.0,11911.0,34188.0,35075.0,4328.0,3137.0,5349.0,3870.0,4579.0,934.0,3145.0,3448.0,3073.0,10861.0,3959.0,3075.0,4055.0,2473.0,3506.0,3682.0,2874.0,2898.0,3005.0,3415.0,2639.0,2469.0,2722.0,5793.0,2588.0,3244.0,2626.0,2184.0,1916.0,2355.0,2757.0,2601.0,2052.0,2263.0,2611.0,2236.0,1980.0,2033.0,2429.0,1776.0,1615.0,2190.0,1751.0,2441.0,1112.0,4071.0,1751.0,1500.0,1984.0,2013.0,2230.0,2200.0,1720.0,2382.0,1306.0,865.0,2606.0,2395.0,1300.0,1497.0,1778.0,814.0,1768.0,2302.0,1719.0,2620.0,1302.0,1777.0,1152.0,1213.0,2439.0,1292.0,1763.0,1072.0,1161.0,1589.0,1086.0,1029.0,1373.0,964.0,9042.0,1150.0,1223.0,707.0,2200.0,1003.0,1764.0,1423.0,1428.0,1490.0,970.0,1470.0,3298.0,2059.0,1156.0,1370.0,1543.0,1163.0,1648.0,1075.0,1664.0,1331.0,1572.0,1217.0,590.0,1009.0,835.0,1186.0,1161.0,727.0,878.0,1096.0,2802.0,961.0,1753.0,1038.0,1113.0,970.0,1263.0,1827.0,1004.0,1464.0,1171.0,1515.0
crimes,15353.0,9941.0,9296.0,8570.0,8363.0,8262.0,8599.0,8350.0,8462.0,8226.0,8195.0,8167.0,8139.0,8390.0,8250.0,13430.0,7802.0,8404.0,10649.0,10495.0,4450.0,10616.0,4914.0,5085.0,4338.0,4328.0,33916.0,6764.0,5206.0,8958.0,7229.0,3411.0,6845.0,6611.0,4324.0,3373.0,4324.0,8294.0,4686.0,3083.0,5397.0,8035.0,2059.0,6757.0,1879.0,4262.0,2823.0,3836.0,4696.0,2946.0,2885.0,2052.0,8266.0,4524.0,4501.0,5880.0,7721.0,3039.0,4291.0,3226.0,7751.0,2419.0,2698.0,3026.0,2693.0,3143.0,825.0,6051.0,3177.0,3058.0,5534.0,2185.0,4240.0,2986.0,3893.0,2046.0,5183.0,2806.0,445.0,4410.0,2711.0,1842.0,2313.0,1947.0,1068.0,2222.0,1879.0,1560.0,2012.0,5085.0,2357.0,2361.0,2346.0,988.0,1920.0,1794.0,460.0,2226.0,4702.0,2468.0,2332.0,2240.0,1950.0,3291.0,4013.0,1462.0,1113.0,2140.0,1961.0,1809.0,1549.0,2821.0,1476.0,3281.0,2618.0,1164.0,587.0,1133.0,932.0,1350.0,921.0,1221.0,1792.0,2406.0,4470.0,2216.0,1378.0,1247.0,2173.0,2815.0,2011.0,1384.0,3100.0,1275.0,1780.0,2804.0,1336.0,1618.0,458.0,1600.0,2275.0,2407.0,1384.0,1432.0,2950.0,536.0,962.0,1944.0,1627.0,1807.0
